norm_id,stat_id,norm.,freq.
0,0,Hooligans,1
1,0,hooligan,2
2,0,hooligans,1
3,1,passion,7
4,2,and,3785
5,2,And,79
6,3,no,153
7,3,No,47
8,4,executive,11
9,4,Executive,1
10,5,boxes,10
11,5,box,32
12,5,boxed,3
13,5,Boxed,1
14,6,are,751
15,7,reminder,1
16,8,how,120
17,9,football,23
18,10,used,96
19,10,use,155
20,10,using,72
21,10,uses,18
22,10,Use,10
23,10,Using,9
24,10,Used,1
25,11,to,3497
26,12,be,802
27,12,'s,177
28,12,was,667
29,12,were,249
30,12,'re,41
31,12,'m,48
32,12,being,99
33,12,is,1439
34,12,been,227
35,12,Was,3
36,12,Is,14
37,12,Were,1
38,12,Are,5
39,12,Being,3
40,12,Be,4
41,12,are,1
42,12,am,2
43,13,before,72
44,13,Before,5
45,14,corporate,12
46,14,Corporate,3
47,15,takeover,2
48,16,bad,15
49,16,worst,3
50,16,Bad,1
51,16,worse,9
52,17,thing,24
53,17,Things,2
54,17,things,40
55,18,say,47
56,18,says,43
57,18,said,136
58,18,Said,2
59,18,Say,3
60,18,saying,9
61,18,Says,1
62,19,in,2162
63,19,In,204
64,20,this,579
65,20,This,203
66,21,special,28
67,21,specials,1
68,21,Special,6
69,22,report,50
70,22,Reports,1
71,22,reports,13
72,22,reported,14
73,22,reporting,1
74,23,Sunday,15
75,24,August,21
76,25,Observer,1
77,26,made,83
78,26,make,117
79,26,making,30
80,26,Make,7
81,26,makes,19
82,26,Making,3
83,26,Made,1
84,27,remarks,3
85,27,remarked,1
86,28,about,181
87,28,About,12
88,29,prawn,2
89,30,sandwiches,4
90,31,eat,8
91,31,eaten,3
92,31,eating,5
93,31,Eat,1
94,31,eats,1
95,32,at,522
96,32,At,30
97,33,matches,8
98,33,match,7
99,33,matching,2
100,34,three,61
101,35,years,111
102,35,year,87
103,35,Year,4
104,35,Years,2
105,36,lifted,2
106,36,lift,1
107,36,lifting,1
108,36,lifts,1
109,37,estimation,1
110,38,hundreds,4
111,38,hundred,5
112,39,thousands,9
113,39,thousand,5
114,40,supporters,5
115,40,supporter,2
116,41,many,113
117,41,Many,1
118,42,footballers,1
119,42,footballer,1
120,43,speak,11
121,43,spoke,6
122,43,speaking,4
123,43,spoken,2
124,43,speaks,2
125,44,out,105
126,44,outing,1
127,44,Out,3
128,44,outs,1
129,45,against,44
130,45,Against,3
131,46,or,527
132,46,Or,4
133,47,English,28
134,48,One,2
135,48,one,295
136,48,ones,13
137,49,assumes,1
138,49,assume,3
139,49,assumed,5
140,49,Assume,1
141,49,assuming,1
142,50,have,589
143,50,had,224
144,50,has,379
145,50,'ve,33
146,50,'d,11
147,50,having,37
148,50,Has,1
149,50,'s,6
150,50,Having,3
151,50,Had,1
152,50,Have,2
153,50,hath,2
154,51,approved,2
155,52,behaviour,10
156,52,behaviours,1
157,53,Manchester,7
158,54,fa,3
159,55,tie,6
160,55,tied,4
161,55,tying,1
162,55,ties,1
163,56,last,72
164,56,lasted,3
165,56,Last,5
166,57,January,28
167,58,affluent,2
168,59,fans,28
169,59,fan,11
170,59,fanned,1
171,60,bothered,1
172,60,bother,1
173,61,so,204
174,61,So,47
175,62,fixture,1
176,63,meant,5
177,63,mean,15
178,63,means,30
179,63,meaning,3
180,64,plenty,7
181,65,space,25
182,65,spaced,2
183,65,spaces,1
184,66,for,1169
185,66,For,85
186,67,visitors,10
187,67,visitor,1
188,68,left,34
189,68,leaving,3
190,68,leaves,4
191,68,leave,14
192,69,home,55
193,69,Home,2
194,69,homes,6
195,70,dawn,1
196,71,noon,1
197,72,meal,3
198,73,half,10
199,73,Half,1
200,74,bottle,4
201,74,bottles,1
202,75,wine,6
203,75,wines,1
204,76,guaranteed,1
205,77,course,37
206,77,courses,11
207,78,did,89
208,78,does,69
209,78,do,215
210,78,Do,36
211,78,doing,20
212,78,done,18
213,78,Did,10
214,78,Does,1
215,79,but,278
216,79,But,60
217,80,kept,12
218,80,keep,29
219,80,Keep,5
220,80,keeping,9
221,80,keeps,1
222,80,Keeping,1
223,81,bringing,2
224,81,bring,31
225,81,brought,11
226,81,brings,3
227,82,credit,4
228,82,credited,2
229,83,it,803
230,83,It,226
231,84,end,73
232,84,ends,9
233,84,End,4
234,84,ending,4
235,84,ended,3
236,85,bit,27
237,85,bits,1
238,86,tables,6
239,86,table,12
240,86,tabled,1
241,87,only,197
242,87,Only,8
243,88,two,141
244,89,other,208
245,89,others,29
246,89,Other,17
247,90,all,309
248,90,All,44
249,91,standing,6
250,91,stand,16
251,91,stood,8
252,91,stands,4
253,91,Stand,2
254,92,chairs,15
255,92,chair,4
256,92,chaired,2
257,92,chairing,1
258,93,completely,7
259,94,pissed,3
260,94,piss,1
261,94,pisses,1
262,95,suits,3
263,95,suit,3
264,95,suited,1
265,96,singing,5
266,97,lost,15
267,97,loses,1
268,97,lose,3
269,97,losing,1
270,98,great,49
271,98,greater,12
272,98,Great,6
273,98,greatest,4
274,99,day,52
275,99,days,36
276,99,Days,2
277,100,first,139
278,100,First,6
279,101,established,4
280,102,black,24
281,102,Black,1
282,103,players,12
283,103,player,6
284,104,seen,21
285,104,see,84
286,104,sees,4
287,104,saw,29
288,104,See,11
289,104,seeing,4
290,105,several,32
291,105,Several,3
292,106,times,19
293,106,time,139
294,106,Time,1
295,106,Times,1
296,107,over,94
297,107,Over,9
298,108,works,32
299,108,working,58
300,108,work,158
301,108,Works,2
302,108,worked,12
303,108,Work,4
304,108,Working,1
305,109,club,17
306,109,clubs,6
307,110,hospitality,4
308,111,staff,42
309,111,Staff,1
310,112,travel,9
311,112,travels,4
312,112,travelling,2
313,112,travelled,1
314,113,guests,2
315,113,guest,1
316,114,away,28
317,115,grounds,5
318,115,ground,16
319,116,matter,14
320,116,matters,8
321,116,Matters,1
322,117,drinking,2
323,117,drink,6
324,118,Dom,1
325,119,wearing,6
326,119,wear,12
327,119,worn,4
328,119,wears,1
329,119,wore,1
330,120,still,64
331,120,stills,1
332,120,Still,4
333,121,giving,19
334,121,gives,15
335,121,given,53
336,121,give,47
337,121,gave,17
338,121,Given,1
339,121,Give,2
340,122,some,177
341,122,Some,27
342,123,behave,3
343,124,like,109
344,124,Like,4
345,124,likes,3
346,124,liked,5
347,124,liking,2
348,125,level,35
349,125,levels,20
350,125,Level,1
351,125,levelled,1
352,126,played,13
353,126,play,36
354,126,plays,5
355,126,Plays,4
356,126,playing,20
357,126,Playing,2
358,127,brief,8
359,127,briefs,1
360,128,visit,43
361,128,visiting,3
362,128,visited,10
363,128,Visit,3
364,128,visits,2
365,128,Visiting,2
366,129,top,50
367,129,Top,6
368,129,tops,2
369,130,division,5
370,131,decided,15
371,131,decides,4
372,131,decide,4
373,132,settle,1
374,132,settled,2
375,132,settles,1
376,133,the,391
377,133,The,35
378,134,preference,4
379,134,Preference,2
380,135,places,25
381,135,place,63
382,135,Placing,1
383,135,placed,8
384,135,Places,1
385,135,placing,3
386,135,Place,1
387,136,native,7
388,137,London,63
389,138,Crystal,2
390,139,way,96
391,139,ways,16
392,139,Way,6
393,140,stayed,5
394,140,staying,2
395,140,stay,12
396,140,stays,3
397,141,here,70
398,141,Here,13
399,142,known,35
400,142,knowing,10
401,142,knows,5
402,142,know,59
403,142,knew,14
404,142,Know,1
405,143,as,678
406,143,As,89
407,144,people,169
408,144,People,16
409,145,town,27
410,145,towns,5
411,146,team,38
412,146,teams,6
413,146,Team,2
414,147,even,71
415,147,Even,13
416,148,follow,15
417,148,followed,13
418,148,following,36
419,148,follows,9
420,148,Following,10
421,148,Follow,3
422,149,results,13
423,149,result,21
424,149,resulted,2
425,149,Results,1
426,149,resulting,5
427,150,'ll,37
428,150,will,474
429,150,'d,17
430,151,can,377
431,151,cans,2
432,152,back,78
433,152,Back,20
434,152,backs,2
435,152,backing,2
436,152,backed,2
437,153,on,10
438,153,On,1
439,154,again,33
440,154,Again,4
441,155,season,17
442,155,seasons,3
443,156,wo,17
444,157,old,59
445,157,older,10
446,157,Old,1
447,157,Older,2
448,158,friend,9
449,158,friends,7
450,159,watch,6
451,159,watching,8
452,159,watches,7
453,159,watched,1
454,160,from,541
455,160,From,22
456,161,seats,5
457,161,seating,1
458,161,seat,8
459,161,seated,4
460,162,cost,17
461,162,costs,15
462,162,Cost,1
463,162,costing,1
464,163,quid,3
465,164,game,24
466,164,games,15
467,164,gamer,1
468,165,get,120
469,165,got,47
470,165,Getting,8
471,165,Get,8
472,165,getting,12
473,165,gets,4
474,165,Gets,1
475,165,gotten,1
476,166,ticket,2
477,166,Tickets,1
478,166,tickets,4
479,167,good,86
480,167,better,35
481,167,best,63
482,167,goods,6
483,167,Good,8
484,167,Best,4
485,168,up,87
486,168,Up,1
487,169,Premiership,8
488,170,except,11
489,170,Except,1
490,171,own,74
491,171,owned,13
492,171,owning,3
493,172,single,24
494,172,singles,1
495,173,go,78
496,173,Go,10
497,173,going,52
498,173,went,38
499,173,goes,8
500,173,gone,13
501,173,Going,1
502,173,Gone,1
503,174,straight,12
504,174,Straight,2
505,175,down,62
506,176,maybe,5
507,177,care,18
508,177,cared,1
509,177,caring,1
510,178,different,57
511,179,millions,5
512,179,million,21
513,180,Champions,1
514,181,League,3
515,182,collapse,2
516,183,transfer,7
517,183,transfers,10
518,183,transferred,3
519,183,transferring,1
520,184,fees,12
521,184,fee,12
522,184,Fees,3
523,185,present,26
524,185,presents,3
525,185,presenting,2
526,185,presented,19
527,185,Present,1
528,186,near,19
529,186,Nearer,1
530,186,Nearing,1
531,186,nearest,1
532,187,future,26
533,187,Future,1
534,188,entirely,5
535,189,past,31
536,189,Past,2
537,190,Britain,41
538,190,Britains,1
539,191,cities,5
540,191,city,17
541,192,think,54
542,192,Think,4
543,192,thought,25
544,192,thinking,12
545,193,miniature,3
546,194,wound,2
547,194,wind,6
548,195,decades,4
549,195,decade,3
550,196,what,121
551,197,regard,3
552,197,regarding,8
553,197,regards,5
554,197,regarded,4
555,197,Regards,1
556,198,Promotion,1
557,199,league,6
558,199,leagues,2
559,200,such,80
560,201,Mark,4
561,202,cabbie,1
562,203,independent,16
563,204,Premier,3
564,205,rain,1
565,206,Man,4
566,206,man,1
567,207,sitting,9
568,207,sat,3
569,207,sits,4
570,207,sit,12
571,207,Sitting,1
572,208,now,123
573,208,Now,13
574,209,fucking,1
575,210,opera,2
576,211,Football,4
577,212,brother,4
578,212,brothers,6
579,213,affinity,1
580,214,ca,24
581,215,smoke,18
582,215,Smoke,2
583,215,smoking,2
584,215,Smoking,1
585,216,fart,1
586,217,singular,3
587,218,come,56
588,218,coming,29
589,218,came,46
590,218,comes,20
591,218,Come,3
592,219,anomalous,1
593,220,Packed,2
594,220,pack,4
595,220,packs,2
596,220,packed,2
597,221,Island,13
598,222,populated,2
599,223,urban,6
600,223,Urban,1
601,224,Europe,31
602,224,Europes,1
603,225,also,196
604,225,Also,13
605,226,pugnacious,1
606,227,kind,18
607,227,kinds,3
608,228,local,78
609,228,locals,3
610,228,Local,3
611,229,newspaper,10
612,229,newspapers,5
613,230,crime,11
614,230,crimes,3
615,231,fortunes,3
616,231,fortune,3
617,232,connected,24
618,232,connects,7
619,232,connect,8
620,232,connecting,4
621,233,war,9
622,233,wars,5
623,233,Wars,1
624,234,centuries,4
625,234,century,20
626,234,Century,1
627,235,life,47
628,235,lives,16
629,236,Royal,8
630,237,Navy,6
631,238,employed,6
632,238,employs,4
633,238,employ,2
634,239,payroll,1
635,240,needs,23
636,240,need,83
637,240,needed,21
638,240,Need,5
639,240,Needs,2
640,240,needing,1
641,241,martial,4
642,242,fighting,7
643,242,fight,17
644,242,Fight,2
645,242,fought,4
646,243,doubt,15
647,243,doubts,3
648,244,culture,10
649,244,cultures,2
650,245,firm,7
651,245,firms,6
652,245,Firms,1
653,245,Firm,1
654,246,raw,5
655,246,Raw,1
656,247,pleasure,4
657,248,anarchy,1
658,249,guys,9
659,249,guy,2
660,250,took,32
661,250,take,90
662,250,taking,21
663,250,takes,14
664,250,taken,39
665,250,Take,10
666,250,Took,1
667,250,Taking,6
668,251,impossible,3
669,251,Impossible,1
670,252,odds,1
671,252,odd,3
672,253,apparently,7
673,253,Apparently,2
674,254,thus,11
675,254,Thus,11
676,255,necessity,1
677,256,living,12
678,256,lived,8
679,256,live,27
680,256,Living,8
681,256,lives,4
682,256,Live,3
683,257,midst,1
684,258,diabolical,2
685,259,citizens,4
686,259,citizen,1
687,260,wrote,13
688,260,write,11
689,260,writes,4
690,260,writing,13
691,260,Written,1
692,260,written,17
693,260,Writing,6
694,260,Write,1
695,261,real,36
696,261,Real,2
697,262,unavoidable,2
698,263,calamity,1
699,264,me,88
700,264,Me,1
701,265,collection,19
702,265,Collection,2
703,265,collections,8
704,265,Collections,1
705,266,demons,1
706,267,whole,39
707,267,Whole,1
708,268,earth,4
709,268,Earth,2
710,269,quotation,4
711,270,selected,3
712,270,select,9
713,270,selecting,4
714,271,relish,2
715,272,new,189
716,272,New,6
717,272,newer,3
718,272,newest,1
719,273,book,62
720,273,Book,4
721,273,books,15
722,273,booked,4
723,273,booking,1
724,273,Books,5
725,274,gang,1
726,275,name,48
727,275,names,14
728,275,named,5
729,275,naming,1
730,276,train,28
731,276,trains,12
732,276,Trains,1
733,276,trained,4
734,277,Saturday,14
735,278,connections,5
736,278,connection,11
737,279,north,9
738,280,core,1
739,280,Core,1
740,281,members,37
741,281,member,28
742,281,Members,4
743,282,probably,22
744,282,Probably,1
745,283,described,8
746,283,describing,2
747,283,describes,4
748,283,describe,2
749,284,though,31
750,284,Though,1
751,285,perhaps,11
752,285,Perhaps,3
753,286,general,20
754,287,armed,2
755,288,forces,9
756,288,force,12
757,288,forcing,2
758,288,forced,3
759,289,island,11
760,289,islands,7
761,290,its,17
762,291,just,108
763,291,Just,8
764,292,England,32
765,293,kick,2
766,293,kicking,2
767,293,kicked,4
768,294,off,43
769,295,builder,1
770,295,builders,2
771,296,further,58
772,296,Further,5
773,297,qualified,4
774,298,five,15
775,299,prison,4
776,299,prisons,1
777,300,violence,4
778,301,volume,7
779,301,Volume,1
780,301,volumes,3
781,301,Volumes,1
782,302,sold,3
783,302,sell,19
784,302,selling,6
785,302,sells,4
786,302,Selling,1
787,303,well,116
788,303,Well,8
789,303,Best,1
790,304,aided,3
791,304,aid,12
792,304,aids,1
793,305,campaign,12
794,305,campaigns,1
795,306,paper,27
796,306,papers,5
797,306,Paper,1
798,307,headlined,1
799,308,Thug,1
800,309,advertising,7
801,310,returned,14
802,310,returning,4
803,310,return,27
804,310,returns,6
805,310,Return,2
806,310,Returns,1
807,311,previous,12
808,311,Previous,2
809,312,night,18
810,312,nights,2
811,313,marching,1
812,314,July,54
813,314,july,1
814,315,British,51
815,315,british,2
816,316,hangs,2
817,316,hanging,5
818,316,hang,4
819,317,jacket,1
820,318,orange,4
821,319,sash,1
822,320,marked,5
823,320,mark,7
824,320,marks,2
825,320,marking,1
826,321,Loyal,1
827,322,Orange,2
828,323,Lodge,1
829,324,right,73
830,324,rights,9
831,324,Right,4
832,325,wing,4
833,325,wings,2
834,326,lark,1
835,327,true,18
836,328,strong,14
837,328,Strong,1
838,328,stronger,3
839,329,tradition,2
840,329,traditions,1
841,330,sailors,1
842,330,sailor,1
843,331,stationed,1
844,331,stations,4
845,331,station,28
846,332,World,24
847,332,world,3
848,333,want,48
849,333,wanted,19
850,333,wants,13
851,333,Want,2
