stat_id,word,freq.,cap_lower,cap_upper,cap_title,cap_other
0,hooligan,4,3,0,1,0
1,passion,7,7,0,0,0
2,and,3864,3775,10,79,0
3,no,200,141,12,47,0
4,executive,12,11,0,1,0
5,box,46,45,0,1,0
6,are,751,751,0,0,0
7,reminder,1,1,0,0,0
8,how,120,120,0,0,0
9,football,23,23,0,0,0
10,use,361,341,0,20,0
11,to,3497,3497,0,0,0
12,be,3782,3748,4,30,0
13,before,77,72,0,5,0
14,corporate,15,12,0,3,0
15,takeover,2,2,0,0,0
16,bad,28,27,0,1,0
17,thing,66,64,0,2,0
18,say,241,235,0,6,0
19,in,2366,2158,4,204,0
20,this,782,579,0,203,0
21,special,35,28,1,6,0
22,report,79,78,0,1,0
23,Sunday,15,0,0,15,0
24,August,21,0,0,21,0
25,Observer,1,0,0,1,0
26,make,260,249,0,11,0
27,remark,4,4,0,0,0
28,about,193,181,0,12,0
29,prawn,2,2,0,0,0
30,sandwich,4,4,0,0,0
31,eat,18,17,0,1,0
32,at,552,519,3,30,0
33,match,17,17,0,0,0
34,three,61,61,0,0,0
35,year,204,198,0,6,0
36,lift,5,5,0,0,0
37,estimation,1,1,0,0,0
38,hundred,9,9,0,0,0
39,thousand,14,14,0,0,0
40,supporter,7,7,0,0,0
41,many,114,113,0,1,0
42,footballer,2,2,0,0,0
43,speak,25,25,0,0,0
44,out,110,107,0,3,0
45,against,47,44,0,3,0
46,or,531,527,0,4,0
47,English,28,0,0,28,0
48,one,310,308,0,2,0
49,assume,11,10,0,1,0
50,have,1288,1280,1,7,0
51,approve,2,2,0,0,0
52,behaviour,11,11,0,0,0
53,Manchester,7,0,0,7,0
54,FA,3,0,3,0,0
55,tie,12,12,0,0,0
56,last,80,75,0,5,0
57,January,28,0,0,28,0
58,affluent,2,2,0,0,0
59,fan,40,40,0,0,0
60,bother,2,2,0,0,0
61,so,251,204,0,47,0
62,fixture,1,1,0,0,0
63,mean,53,52,1,0,0
64,plenty,7,7,0,0,0
65,space,28,28,0,0,0
66,for,1254,1165,4,85,0
67,visitor,11,11,0,0,0
