ngram_id,ngram,lemmas,freq,probability
0,NMOD:executive-JJ COORD:box-NNS ROOT:.-SENT,executive boxes .,1,NA
1,ROOT:the-DT ROOT:Observer-NP,the Observer,1,NA
2,NMOD:executive-NN PMOD:box-NNS NMOD:Manchester-NP,executive boxes Manchester,1,NA
3,NMOD:executive-JJ PMOD:box-NNS PMOD:away-RB,executive boxes away,1,NA
4,CC:and-CC VMOD:n't-RB,and n't,2,NA
5,PRD:people-NNS PMOD:town-NN,people town,1,NA
6,CC:and-CC ROOT:will-MD,and will,1,NA
7,NMOD:executive-JJ PMOD:box-NNS NMOD:Premiership-NP,executive boxes Premiership,1,NA
8,"NMOD:executive-JJ NMOD:box-NNS P:,-,","executive boxes ,",1,NA
9,"ROOT:people-NNS P:,-,","people ,",1,NA
10,CC:and-CC ROOT:be-VBZ,and be,4,NA
11,CC:and-CC VC:see-VV,and see,1,NA
12,NMOD:the-DT SBJ:necessity-NN,the necessity,1,NA
13,NMOD:the-DT NMOD:quotation-NN,the quotation,1,NA
14,NMOD:the-DT SBJ:volume-NN,the volume,2,NA
15,OBJ:people-NNS PMOD:landscape-NN,people landscape,1,NA
16,DEP:the-DT ROOT:RMA-NP,the RMA,1,NA
17,NMOD:the-DT SBJ:singer-NN,the singer,1,NA
18,VMOD:the-DT SBJ:Super-NP,the Super,1,NA
19,SBJ:people-NNS COORD:turn-VVD,people turn,1,NA
20,"PMOD:people-NNS P:,-,","people ,",6,NA
21,CC:and-CC NMOD:domestic-JJ,and domestic,1,NA
22,PMOD:people-NNS VC:ask-VVN,people ask,1,NA
23,NMOD:no-DT SBJ:one-NN,no one,4,NA
24,DEP:and-CC ROOT:Frenchman-NN,and Frenchman,1,NA
25,SBJ:people-NNS PRD:proud-JJ,people proud,1,NA
26,SBJ:people-NNS VC:see-VV,people see,1,NA
27,SBJ:people-NNS SBJ:are.-JJ,people are.,1,NA
28,NMOD:the-DT SBJ:name-NN,the name,1,NA
29,NMOD:the-DT NMOD:follow-VVG,the follow,2,NA
30,NMOD:the-DT ROOT:@card@-CD,the @card@,1,NA
31,NMOD:the-DT SBJ:change-NN,the change,1,NA
32,ROOT:the-DT ROOT:Green-NP,the Green,2,NA
33,"NMOD:executive-JJ OBJ:box-NNS P:,-,","executive boxes ,",1,NA
34,NMOD:the-DT SBJ:singing-NN,the singing,1,NA
35,CC:and-CC NMOD:new-JJ,and new,1,NA
36,NMOD:the-DT SBJ:game-NN,the game,1,NA
37,NMOD:executive-JJ PMOD:box-NNS P:.-SENT,executive boxes .,1,NA
38,NMOD:the-DT NMOD:morale-boosting-NN,the morale-boosting,1,NA
39,NMOD:the-DT ROOT:club-NN,the club,1,NA
40,NMOD:the-DT ADV:organiser-NNS,the organiser,1,NA
41,NMOD:the-DT NMOD:UK-NP,the UK,2,NA
42,NMOD:the-DT ROOT:ďż˝nokia-NN,the ďż˝nokia,2,NA
43,NMOD:the-DT NMOD:two-CD,the two,5,NA
44,NMOD:the-DT SBJ:headliner-NN,the headliner,1,NA
45,NMOD:the-DT SBJ:band-NN,the band,3,NA
46,PMOD:people-NNS PMOD:March-NP,people March,1,NA
47,NMOD:the-DT NMOD:Bolddog-NP,the Bolddog,1,NA
48,NMOD:the-DT SBJ:use-NN,the use,2,NA
49,NMOD:the-DT NMOD:combined-JJ,the combined,1,NA
50,NMOD:the-DT NMOD:bad-JJS,the bad,1,NA
51,NMOD:the-DT SBJ:liking-NN,the liking,1,NA
52,NMOD:the-DT SBJ:systematic-JJ,the systematic,1,NA
53,VMOD:the-DT SBJ:Park-NP,the Park,1,NA
54,NMOD:the-DT SBJ:information-NN,the information,3,NA
55,NMOD:the-DT NMOD:usual-JJ,the usual,1,NA
56,NMOD:the-DT SBJ:application-NN,the application,2,NA
57,NMOD:the-DT SBJ:query-NN,the query,1,NA
58,NMOD:the-DT NMOD:initial-JJ,the initial,1,NA
59,NMOD:the-DT SBJ:source-NN,the source,1,NA
60,NMOD:the-DT SBJ:nameserver-NN,the nameserver,1,NA
61,CC:and-CC ADV:almost-RB,and almost,1,NA
62,NMOD:the-DT NMOD:Linux-NP,the Linux,1,NA
63,NMOD:the-DT SBJ:title-NNS,the title,1,NA
64,NMOD:no-DT SBJ:part-NN,no part,1,NA
65,NMOD:the-DT SBJ:fee-NNS,the fee,1,NA
66,NMOD:the-DT NMOD:precise-JJ,the precise,1,NA
67,NMOD:the-DT SBJ:fact-NN,the fact,1,NA
68,DEP:the-DT DEP:Red-NP,the Red,1,NA
69,P:the-DT DEP:Green-NP,the Green,2,NA
70,NMOD:the-DT ROOT:majority-NN,the majority,2,NA
71,NMOD:the-DT NMOD:actual-JJ,the actual,2,NA
72,NMOD:the-DT NMOD:potential-JJ,the potential,1,NA
73,NMOD:the-DT NMOD:subsequent-JJ,the subsequent,1,NA
74,DEP:the-DT VMOD:Sparrows-NP,the Sparrows,1,NA
75,NMOD:the-DT SBJ:regatta-NN,the regatta,1,NA
76,ROOT:and-CC SBJ:Cold-NP,and Cold,1,NA
77,NMOD:the-DT NMOD:main-JJ,the main,5,NA
78,"CC:and-CC P:,-,","and ,",3,NA
79,NMOD:the-DT NMOD:Vesta-NP,the Vesta,1,NA
80,NMOD:the-DT NMOD:8's-JJ,the 8's,1,NA
81,NMOD:the-DT SBJ:club-NNS,the club,1,NA
82,SBJ:people-NNS VC:turn-VVN,people turn,1,NA
83,CC:and-CC P:(-(,and (,1,NA
84,PMOD:people-NNS NMOD:texted-VVD,people texted,1,NA
85,CC:and-CC PMOD:middle-NN,and middle,1,NA
86,PMOD:people-NNS NMOD:have-VHP,people have,1,NA
87,SBJ:people-NNS ROOT:spend-VVP,people spend,1,NA
88,SBJ:the-DT ADV:Environment-NP,the Environment,1,NA
89,NMOD:the-DT NMOD:last-JJ,the last,3,NA
90,NMOD:the-DT SBJ:race-NN,the race,1,NA
91,NMOD:the-DT SBJ:event-NN,the event,2,NA
92,CC:and-CC NMOD:attach-VVN,and attach,1,NA
93,NMOD:the-DT SBJ:slug-NN,the slug,2,NA
94,NMOD:the-DT SBJ:website-NN,the website,1,NA
95,PMOD:people-NNS PRD:busy-JJ,people busy,1,NA
96,IOBJ:people-NNS NMOD:old-JJ,people old,1,NA
97,NMOD:of-IN PMOD:course-NN,of course,1,NA
98,NMOD:the-DT SBJ:6-CD,the 6,1,NA
99,NMOD:the-DT SBJ:rest-NN,the rest,1,NA
100,NMOD:the-DT NMOD:event-NN,the event,1,NA
101,NMOD:the-DT SBJ:venue-NN,the venue,1,NA
102,NMOD:no-DT NMOD:copyright-NN,no copyright,1,NA
103,NMOD:the-DT SBJ:content-NNS,the content,1,NA
104,NMOD:the-DT NMOD:lifting-NN,the lifting,1,NA
105,NMOD:the-DT SBJ:controller-NN,the controller,5,NA
106,NMOD:the-DT SBJ:man-NNS,the man,2,NA
107,NMOD:the-DT NMOD:rocket-NNS,the rocket,1,NA
108,VMOD:the-DT SBJ:Hood-NP,the Hood,4,NA
109,VMOD:the-DT SBJ:Zero-X-NP,the Zero-X,1,NA
110,NMOD:the-DT NMOD:Zero-X-NP,the Zero-X,1,NA
111,NMOD:the-DT NMOD:three-CD,the three,2,NA
112,SBJ:people-NNS ADV:ask-VVP,people ask,1,NA
113,NMOD:the-DT NMOD:next-JJ,the next,3,NA
114,NMOD:the-DT PMOD:helicopter-NN,the helicopter,1,NA
115,NMOD:the-DT SBJ:vehicle-NN,the vehicle,2,NA
116,NMOD:the-DT SBJ:scientist-NNS,the scientist,1,NA
117,NMOD:the-DT SBJ:formation-NN,the formation,1,NA
118,NMOD:the-DT NMOD:astronaut-NNS,the astronaut,1,NA
119,NMOD:the-DT NMOD:retro-NNS,the retro,1,NA
120,NMOD:the-DT NMOD:lift-VVG,the lift,1,NA
121,NMOD:the-DT SBJ:cable-NN,the cable,5,NA
122,NMOD:the-DT NMOD:first-JJ,the first,9,NA
123,NMOD:the-DT ROOT:sequence-NNS,the sequence,1,NA
124,ROOT:and-CC ROOT:Mysterons-NP,and Mysterons,1,NA
125,VMOD:the-DT SBJ:5Ss-NP,the 5Ss,1,NA
126,ROOT:the-DT ROOT:5S-NP,the 5S,1,NA
127,NMOD:the-DT NMOD:5s-JJ,the 5s,1,NA
128,NMOD:the-DT PRD:5s-NN,the 5s,1,NA
129,NMOD:the-DT NMOD:full-JJ,the full,1,NA
130,NMOD:the-DT SBJ:city-NN,the city,2,NA
131,NMOD:the-DT NMOD:@card@-CD,the @card@,4,NA
132,NMOD:the-DT NMOD:city-NN,the city,1,NA
133,NMOD:the-DT NMOD:Leicester-NP,the Leicester,1,NA
134,NMOD:the-DT SBJ:settlement-NN,the settlement,1,NA
135,CC:and-CC ROOT:admit-VVD,and admit,1,NA
136,NMOD:the-DT PMOD:Scientist-NP,the Scientist,1,NA
137,ROOT:the-DT ROOT:Scientist-NP,the Scientist,2,NA
138,CC:and-CC NMOD:Cancer-NP,and Cancer,1,NA
139,NMOD:the-DT SBJ:book-NN,the book,8,NA
140,VMOD:the-DT SBJ:MHF-NP,the MHF,1,NA
141,NMOD:the-DT SBJ:manual-JJ,the manual,2,NA
142,ADV:of-IN SBJ:SLITS-NP,of SLITS,1,NA
143,CC:and-CC ADV:GRATINGS-NP,and GRATINGS,1,NA
144,NMOD:the-DT SBJ:slit-NNS,the slit,1,NA
145,PMOD:people-NNS NMOD:full-JJ,people full,1,NA
146,NMOD:the-DT NMOD:Andy-NP,the Andy,1,NA
147,NMOD:the-DT NMOD:Claude-NP,the Claude,1,NA
148,NMOD:the-DT PMOD:museum-NN,the museum,1,NA
149,NMOD:the-DT NMOD:early-JJ,the early,1,NA
150,NMOD:the-DT NMOD:slaughtered-JJ,the slaughtered,1,NA
151,NMOD:the-DT NMOD:Vincent-NP,the Vincent,1,NA
152,DEP:the-DT ROOT:Warhol-NP,the Warhol,1,NA
153,"ROOT:the-DT ROOT:""-``","the """,1,NA
154,NMOD:the-DT NMOD:late-JJS,the late,4,NA
155,NMOD:the-DT SBJ:circumstance-NN,the circumstance,1,NA
156,NMOD:the-DT SBJ:system-NN,the system,1,NA
