posdep_id,stat_id,posdep,freq.
0,0,CC_CC,3734
1,0,CC_ADV,2
2,0,CC_SBJ,6
3,0,CC_DEP,16
4,0,CC_ROOT,63
5,0,CC_VMOD,2
6,0,CC_P,51
7,0,CC_AMOD,2
8,0,CC_NMOD,2
9,0,NP_ROOT,1
10,1,DT_NMOD,142
11,1,DT_SBJ,5
12,1,RB_AMOD,7
13,1,RB_NMOD,3
14,1,DT_AMOD,5
15,1,RB_ADV,16
16,1,RB_ROOT,1
17,1,UH_DEP,2
18,1,DT_VMOD,3
19,1,UH_VMOD,1
20,1,DT_DEP,11
21,1,DT_COORD,1
22,1,RB_PMOD,1
23,1,DT_P,1
24,1,DT_ROOT,1
25,2,JJ_NMOD,6
26,2,NN_NMOD,1
27,3,VVD_PMOD,1
28,4,DT_NMOD,7128
29,4,DT_ROOT,358
30,4,DT_P,83
31,4,DT_SBJ,87
32,4,DT_DEP,123
33,4,DT_VMOD,227
34,4,NP_VMOD,1
35,4,NP_ROOT,7
36,4,NP_NMOD,7
37,4,DT_ADV,2
38,4,NP_SBJ,2
39,4,NP_P,1
40,4,DT_PMOD,1
41,5,NN_OBJ,2
42,5,NN_NMOD,2
43,5,NNS_OBJ,1
44,5,NN_SBJ,3
45,5,NN_PMOD,1
46,5,NN_PRD,1
47,5,NNS_SBJ,2
48,6,NNS_COORD,1
49,6,NNS_PMOD,10
50,6,NN_NMOD,5
51,6,NNS_NMOD,1
52,6,NNS_SBJ,2
53,6,JJ_NMOD,3
54,6,NNS_OBJ,2
55,7,NP_SBJ,1
56,7,NP_NMOD,1
57,7,NP_P,1
58,8,NP_SBJ,1
59,8,NNS_COORD,1
60,8,NN_PMOD,5
61,8,NN_NMOD,4
62,8,NN_ROOT,1
63,8,NN_SBJ,1
64,8,NNS_PMOD,1
65,9,NP_DEP,1
66,9,NP_NMOD,1
